show_id,title,type,genres,year_added,rating
237349,Ek Mahanayak - Dr B R Ambedkar,tv show,Drama,2019,10.0
237349,Ek Mahanayak - Dr B R Ambedkar,tv show,Reality,2019,10.0
82856,The Mandalorian,tv show,Sci-Fi & Fantasy,2019,8.425
82856,The Mandalorian,tv show,Action & Adventure,2019,8.425
82856,The Mandalorian,tv show,Drama,2019,8.425
104922,Dogs Are Incredible,tv show,Reality,2019,1.5
96152,Court Cam,tv show,Reality,2019,8.5
96152,Court Cam,tv show,Crime,2019,8.5
96152,Court Cam,tv show,Documentary,2019,8.5
98754,Club 57,tv show,Comedy,2019,8.2
98754,Club 57,tv show,Sci-Fi & Fantasy,2019,8.2
98754,Club 57,tv show,Soap,2019,8.2
98754,Club 57,tv show,Family,2019,8.2
90819,Love and Destiny,tv show,Drama,2019,7.6
85680,5e Rang,tv show,Drama,2019,9.3
68507,His Dark Materials,tv show,Sci-Fi & Fantasy,2019,7.882
68507,His Dark Materials,tv show,Drama,2019,7.882
89728,Arthur and the Children of the Round Table,tv show,Kids,2019,8.3
89728,Arthur and the Children of the Round Table,tv show,Animation,2019,8.3
93456,Baalveer,tv show,Comedy,2019,7.2
93456,Baalveer,tv show,Family,2019,7.2
93456,Baalveer,tv show,Sci-Fi & Fantasy,2019,7.2
219660,Sahaya,tv show,Drama,2019,0.0
219660,Sahaya,tv show,Sci-Fi & Fantasy,2019,0.0
223694,Wo Shi Bu Bai Chi,tv show,Animation,2019,0.0
223694,Wo Shi Bu Bai Chi,tv show,Kids,2019,0.0
87083,Formula 1: Drive to Survive,tv show,Documentary,2019,8.2
92621,Brassic,tv show,Comedy,2019,8.505
92621,Brassic,tv show,Drama,2019,8.505
92621,Brassic,tv show,Crime,2019,8.505
120218,跟着书本去旅行,tv show,Documentary,2019,0.0
88324,Virgin River,tv show,Drama,2019,8.0
92461,Bob Hearts Abishola,tv show,Comedy,2019,7.531
87773,The Bay,tv show,Drama,2019,6.9
87773,The Bay,tv show,Crime,2019,6.9
85992,Campanas en la noche,tv show,Crime,2019,2.0
85992,Campanas en la noche,tv show,Drama,2019,2.0
87826,Selling Sunset,tv show,Reality,2019,6.5
83121,Kaguya-sama: Love Is War,tv show,Animation,2019,8.6
83121,Kaguya-sama: Love Is War,tv show,Comedy,2019,8.6
95439,El final del paraíso,tv show,Drama,2019,7.063
95439,El final del paraíso,tv show,Action & Adventure,2019,7.063
219599,Dahil sa Pag-ibig,tv show,Crime,2019,0.0
219599,Dahil sa Pag-ibig,tv show,Drama,2019,0.0
91941,Orphans of a Nation,tv show,Crime,2019,5.8
91941,Orphans of a Nation,tv show,Drama,2019,5.8
92967,Miracle Doctor,tv show,Drama,2019,8.1
90955,The Naked Director,tv show,Comedy,2019,7.339
90955,The Naked Director,tv show,Drama,2019,7.339
201876,Yasuragi no Toki: Michi,tv show,Drama,2019,6.0
91174,Lights Out with David Spade,tv show,Talk,2019,5.6
91174,Lights Out with David Spade,tv show,Comedy,2019,5.6
74440,Harley Quinn,tv show,Action & Adventure,2019,8.3
74440,Harley Quinn,tv show,Animation,2019,8.3
74440,Harley Quinn,tv show,Comedy,2019,8.3
74440,Harley Quinn,tv show,Sci-Fi & Fantasy,2019,8.3
85413,Blessing of the Sea,tv show,Drama,2019,5.2
85413,Blessing of the Sea,tv show,Soap,2019,5.2
85413,Blessing of the Sea,tv show,Family,2019,5.2
84977,Russian Doll,tv show,Comedy,2019,7.4
84977,Russian Doll,tv show,Drama,2019,7.4
98325,Ask Us Anything Fortune Teller,tv show,Family,2019,0.0
98325,Ask Us Anything Fortune Teller,tv show,Talk,2019,0.0
90660,KENGAN ASHURA,tv show,Animation,2019,8.4
90660,KENGAN ASHURA,tv show,Action & Adventure,2019,8.4
90660,KENGAN ASHURA,tv show,Sci-Fi & Fantasy,2019,8.4
114473,Detective Academy,tv show,Reality,2019,7.0
114473,Detective Academy,tv show,Mystery,2019,7.0
90937,BEASTARS,tv show,Animation,2019,8.469
90937,BEASTARS,tv show,Drama,2019,8.469
90937,BEASTARS,tv show,Mystery,2019,8.469
96738,Ming Dynasty,tv show,Drama,2019,7.1
91205,Isharon Isharon Mein,tv show,Drama,2019,0.0
95004,Tyler Perry's The Oval,tv show,Drama,2019,8.2
95004,Tyler Perry's The Oval,tv show,Family,2019,8.2
86175,Derecho a soñar,tv show,Drama,2019,4.8
86175,Derecho a soñar,tv show,Family,2019,4.8
95216,Wanna Taste?,tv show,Drama,2019,5.5
95216,Wanna Taste?,tv show,Family,2019,5.5
219489,Starla,tv show,Drama,2019,2.0
219489,Starla,tv show,Comedy,2019,2.0
219489,Starla,tv show,Sci-Fi & Fantasy,2019,2.0
